path,create_time,contributors,pull_request,star
https://github.com/Homebrew/homebrew-core,2016/3/1 0:00,5000,75394,9522
https://github.com/elastic/kibana,2013/1/26 0:00,682,67491,16264
https://github.com/ceph/ceph,2011/9/1 0:00,1081,41976,9355
https://github.com/istio/istio,2016/11/18 0:00,708,19702,27369
https://github.com/elastic/beats,2014/2/5 0:00,595,19418,10085
https://github.com/qgis/QGIS,2011/5/2 0:00,439,18455,4765
https://github.com/frappe/erpnext,2011/6/8 0:00,386,14155,9008
https://github.com/opencv/opencv,2012/7/19 0:00,1281,12142,55303
https://github.com/mattermost/mattermost-server,2015/6/15 0:00,607,11983,20574
https://github.com/scikit-learn/scikit-learn,2010/8/17 0:00,2002,11554,46321
https://github.com/qmk/qmk_firmware,2014/12/8 0:00,1749,11232,9966
https://github.com/radareorg/radare2,2012/7/3 0:00,789,10647,14587
https://github.com/openssl/openssl,2013/1/15 0:00,583,9808,16000
https://github.com/scala/scala,2011/12/1 0:00,521,9608,13374
https://github.com/jhipster/generator-jhipster,2013/10/21 0:00,621,8867,18607
https://github.com/Sylius/Sylius,2011/11/5 0:00,625,8449,6365
https://github.com/angular/angular-cli,2015/6/4 0:00,540,8005,24632
https://github.com/containers/podman,2017/11/1 0:00,293,6624,8332
https://github.com/fastlane/fastlane,2014/12/2 0:00,1162,6621,32551
https://github.com/openethereum/parity-ethereum,2015/11/23 0:00,218,6144,6398
https://github.com/facebook/rocksdb,2012/11/30 0:00,592,6107,20182
https://github.com/rust-analyzer/rust-analyzer,2017/12/21 0:00,420,5973,6624
https://github.com/Graylog2/graylog2-server,2010/5/17 0:00,119,5379,5769
https://github.com/bokeh/bokeh,2012/3/26 0:00,502,4742,15271
https://github.com/MinecraftForge/MinecraftForge,2012/1/30 0:00,394,4059,4769
https://github.com/sequelize/sequelize,2010/7/22 0:00,910,3993,24524
https://github.com/kubernetes/dashboard,2015/10/15 0:00,273,3726,9843
https://github.com/nestjs/nest,2017/2/4 0:00,231,3576,38266
https://github.com/apple/swift-package-manager,2015/10/23 0:00,301,3566,8375
https://github.com/parse-community/parse-server,2016/1/28 0:00,294,3459,18748
https://github.com/ReactiveX/rxjs,2015/3/15 0:00,476,3453,25110
https://github.com/getredash/redash,2013/10/28 0:00,354,3424,19067
https://github.com/apollographql/apollo-server,2016/4/21 0:00,422,3264,11615
https://github.com/libgdx/libgdx,2012/8/10 0:00,508,3203,18611
https://github.com/iterative/dvc,2017/3/4 0:00,216,3046,8224
https://github.com/spyder-ide/spyder,2015/2/16 0:00,176,3026,6395
https://github.com/ornicar/lila,2012/2/21 0:00,240,3022,9665
https://github.com/webdriverio/webdriverio,2011/8/30 0:00,361,2973,6808
https://github.com/grpc/grpc-go,2014/12/8 0:00,287,2902,14010
https://github.com/linuxkit/linuxkit,2015/11/26 0:00,153,2692,6927
https://github.com/deis/deis,2013/7/22 0:00,169,2469,6107
https://github.com/vercel/hyper,2016/7/1 0:00,263,2369,36112
https://github.com/ether/etherpad-lite,2011/3/26 0:00,261,2305,10987
https://github.com/graphql/graphql-js,2015/6/30 0:00,169,2227,17748
https://github.com/SeleniumHQ/selenium,2013/1/14 0:00,573,2164,21117
https://github.com/prometheus-operator/prometheus-operator,2016/9/22 0:00,432,2070,5881
https://github.com/pyro-ppl/pyro,2017/6/16 0:00,110,2027,6989
https://github.com/video-dev/hls.js,2015/1/30 0:00,208,2024,10050
https://github.com/docker/machine,2014/12/3 0:00,338,1955,6368
https://github.com/jetstack/cert-manager,2017/5/24 0:00,292,1954,7495
https://github.com/Semantic-Org/Semantic-UI-React,2015/6/19 0:00,307,1818,12337
https://github.com/TykTechnologies/tyk,2014/5/7 0:00,73,1803,6419
https://github.com/react-dnd/react-dnd,2014/10/19 0:00,173,1770,16052
https://github.com/yiisoft/yii,2012/2/15 0:00,294,1719,4843
https://github.com/Rapptz/discord.py,2015/8/21 0:00,241,1659,7850
https://github.com/google/flatbuffers,2014/5/19 0:00,476,1657,16448
https://github.com/highlightjs/highlight.js,2011/1/1 0:00,547,1563,18636
https://github.com/getpelican/pelican,2010/10/16 0:00,386,1421,10452
https://github.com/hapijs/hapi,2011/8/6 0:00,209,1265,13366
https://github.com/adazzle/react-data-grid,2015/3/6 0:00,106,1234,4661
https://github.com/searx/searx,2013/10/15 0:00,150,1185,9099
https://github.com/mybatis/mybatis-3,2013/2/14 0:00,180,1181,15860
https://github.com/sinonjs/sinon,2010/6/29 0:00,334,1128,8610
https://github.com/mockito/mockito,2012/10/13 0:00,220,1126,11982
https://github.com/bkaradzic/bgfx,2012/4/4 0:00,198,1075,9543
https://github.com/google/traceur-compiler,2013/3/27 0:00,59,1057,8149
https://github.com/google/guava,2014/5/29 0:00,263,1031,41614
https://github.com/duplicati/duplicati,2014/8/5 0:00,146,1019,6275
https://github.com/SignalR/SignalR,2011/7/22 0:00,86,1015,8382
https://github.com/google/ExoPlayer,2014/6/13 0:00,198,1005,17948
https://github.com/react-native-camera/react-native-camera,2015/4/1 0:00,349,1004,9231
https://github.com/swagger-api/swagger-editor,2014/5/2 0:00,103,987,7073
https://github.com/benoitc/gunicorn,2009/11/30 0:00,314,932,7710
https://github.com/sinatra/sinatra,2009/1/14 0:00,401,919,11346
https://github.com/nvm-sh/nvm,2010/4/15 0:00,296,908,49719
https://github.com/tachiyomiorg/tachiyomi,2015/10/7 0:00,246,901,11878
https://github.com/Seldaek/monolog,2011/2/17 0:00,384,891,18877
https://github.com/technomancy/leiningen,2009/11/1 0:00,372,883,7059
https://github.com/semantic-release/semantic-release,2014/9/15 0:00,167,864,13098
https://github.com/vuejs/vuex,2015/7/16 0:00,306,862,26457
https://github.com/spacejam/sled,2016/1/11 0:00,57,846,4855
https://github.com/ocornut/imgui,2014/7/21 0:00,251,818,30268
https://github.com/SFML/SFML,2011/3/25 0:00,138,806,6912
https://github.com/cefsharp/CefSharp,2010/12/3 0:00,176,803,8062
https://github.com/imathis/octopress,2009/10/18 0:00,118,799,9402
https://github.com/Netflix/Hystrix,2012/11/19 0:00,109,797,21691
https://github.com/keras-team/autokeras,2017/11/19 0:00,128,779,8033
https://github.com/miekg/dns,2010/8/3 0:00,193,774,5640
https://github.com/facebook/facebook-ios-sdk,2010/6/24 0:00,117,772,6758
https://github.com/catchorg/Catch2,2010/11/8 0:00,263,733,13567
https://github.com/powerline/powerline,2012/6/12 0:00,131,728,12668
https://github.com/jazzband/django-debug-toolbar,2008/8/28 0:00,205,721,6542
https://github.com/FredrikNoren/ungit,2013/5/19 0:00,86,708,9705
https://github.com/snorkel-team/snorkel,2016/2/26 0:00,62,697,4688
https://github.com/aksonov/react-native-router-flux,2015/8/25 0:00,264,696,9009
https://github.com/keplergl/kepler.gl,2018/2/28 0:00,84,690,7835
https://github.com/winstonjs/winston,2010/12/29 0:00,324,683,17474
https://github.com/urfave/cli,2013/7/13 0:00,199,683,16071
https://github.com/mongodb/mongo-go-driver,2017/2/8 0:00,95,683,5855
https://github.com/jazzband/pip-tools,2012/9/10 0:00,141,679,5063
https://github.com/OpenFeign/feign,2013/6/26 0:00,170,676,7201
https://github.com/resilience4j/resilience4j,2015/6/3 0:00,147,663,7026
https://github.com/Powerlevel9k/powerlevel9k,2015/1/29 0:00,128,658,13166
https://github.com/gulpjs/gulp,2013/7/4 0:00,248,652,32240
https://github.com/framework7io/framework7,2014/2/23 0:00,137,625,16235
https://github.com/pockethub/PocketHub,2011/9/8 0:00,118,625,9483
https://github.com/tannerlinsley/react-table,2016/10/20 0:00,263,620,14516
https://github.com/stylus/stylus,2010/12/28 0:00,182,616,10699
https://github.com/kif-framework/KIF,2011/6/2 0:00,164,616,6021
